paper_id,title,authors,year,journal,doi,topic,verification_status
PFLOTRAN-001,Benchmarking CO2 storage simulations: Results from the 11th SPE Comparative Solution Project,Jan M. Nordbotten et al.,2025,International Journal of Greenhouse Gas Control,https://doi.org/10.1016/j.ijggc.2025.104519,PFLOTRAN,verified
PFLOTRAN-002,Predicting radionuclide behavior in deep geological repositories using graph convolutional LSTM,Dae Seong Jeong et al.,2025,Journal of Hazardous Materials,https://doi.org/10.1016/j.jhazmat.2025.139195,PFLOTRAN,verified
PFLOTRAN-003,Modeling commercial-scale CO2 storage in the gas hydrate stability zone with PFLOTRAN v6.0,M. Nole et al.,2025,Geoscientific Model Development,https://doi.org/10.5194/gmd-18-1413-2025,PFLOTRAN,verified
PFLOTRAN-004,Modeling Supercritical CO2 Flow and Mineralization in Reactive Host Rocks with PFLOTRAN v7.0,M. Nole et al.,2025,EGUsphere,https://doi.org/10.5194/egusphere-2025-1343,PFLOTRAN,verified
PFLOTRAN-005,Lambda-PFLOTRAN 1.0: Incorporating organic matter chemistry into biogeochemical modeling,K.A. Muller et al.,2024,Geoscientific Model Development,https://doi.org/10.5194/gmd-17-8955-2024,PFLOTRAN,verified
PFLOTRAN-006,Developing a Redox Network for Coastal Saltmarsh Systems in PFLOTRAN,T.A. O'Meara et al.,2024,Journal of Geophysical Research: Biogeosciences,https://doi.org/10.1029/2023JG007633,PFLOTRAN,verified
PFLOTRAN-007,Influence of Vertical Hydrologic Exchange Flow on CH4 Emissions from Rivers,Kewei Chen et al.,2023,Water Resources Research,https://doi.org/10.1029/2023WR035341,PFLOTRAN,verified
PFLOTRAN-008,Vertical Hydrologic Exchange Flows Control Methane Emissions from Riverbed Sediments,Kewei Chen et al.,2023,Environmental Science & Technology,https://doi.org/10.1021/acs.est.2c07676,PFLOTRAN,verified
PFLOTRAN-009,Massively parallel modeling and inversion of electrical resistivity tomography data using PFLOTRAN,P. Jaysaval et al.,2023,Geoscientific Model Development,https://doi.org/10.5194/gmd-16-961-2023,PFLOTRAN,verified
PFLOTRAN-010,Mineral surface area accessibility and sensitivity constraints on carbon mineralization in basaltic aquifers,A.N. Awolayo et al.,2022,Geochimica et Cosmochimica Acta,https://doi.org/10.1016/j.gca.2022.08.011,PFLOTRAN,verified
PFLOTRAN-011,Simulated Hydrological Dynamics and Coupled Iron Redox Cycling Impact Methane Production,B.N. Sulman et al.,2022,Journal of Geophysical Research: Biogeosciences,https://doi.org/10.1029/2021JG006662,PFLOTRAN,verified
PFLOTRAN-012,Voronoi Meshing to Accurately Capture Geological Structure in Subsurface Simulations,Tara LaForce et al.,2022,Mathematical Geosciences,https://doi.org/10.1007/s11004-022-10025-x,PFLOTRAN,verified
PFLOTRAN-013,Newton trust-region methods with primary variable switching for multiphase porous media flow,Heeho D. Park et al.,2022,Advances in Water Resources,https://doi.org/10.1016/j.advwatres.2022.104285,PFLOTRAN,verified
PFLOTRAN-014,Simulating electrochemical migration and anion exclusion using PFLOTRANNP,Paolo Trinchero et al.,2022,Computers & Geosciences,https://doi.org/10.1016/j.cageo.2022.105166,PFLOTRAN,verified
PFLOTRAN-015,Using Ensemble Data Assimilation to Estimate Transient Hydrologic Exchange Flow,Kewei Chen et al.,2022,Water Resources Research,https://doi.org/10.1029/2021WR030735,PFLOTRAN,verified
PFLOTRAN-016,Parameter estimation from spontaneous imbibition into volcanic tuff,K.L. Kuhlman et al.,2022,Vadose Zone Journal,https://doi.org/10.1002/vzj2.20188,PFLOTRAN,verified
PFLOTRAN-017,The PFLOTRAN Reaction Sandbox,Glenn E. Hammond,2022,Geoscientific Model Development,https://doi.org/10.5194/gmd-15-1659-2022,PFLOTRAN,verified
PFLOTRAN-018,ORT: Linking genome-scale metabolic models with reactive transport codes,R.L. Rubinstein et al.,2021,Bioinformatics,https://doi.org/10.1093/bioinformatics/btab753,PFLOTRAN,verified
PFLOTRAN-019,Linear and nonlinear solvers for simulating multiphase flow in large-scale systems,Heeho D. Park et al.,2021,Advances in Water Resources,https://doi.org/10.1016/j.advwatres.2021.104029,PFLOTRAN,verified
PFLOTRAN-020,DART-PFLOTRAN: Ensemble-based data assimilation for subsurface parameters,Peishi Jiang et al.,2021,Environmental Modelling & Software,https://doi.org/10.1016/j.envsoft.2021.105074,PFLOTRAN,verified
PFLOTRAN-021,Utilizing Environmental Tracers to Reduce Groundwater Flow Model Uncertainties,N.E. Thiros et al.,2021,Water Resources Research,https://doi.org/10.1029/2020WR028235,PFLOTRAN,verified
PFLOTRAN-022,Coupling surface flow with high-performance subsurface reactive flow code PFLOTRAN,Wu et al.,2021,Environmental Modelling & Software,https://doi.org/10.1016/j.envsoft.2021.104959,PFLOTRAN,verified
